14,12
.           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .
.           , text_wire   , is          , stop        , .           , text_flag   , on          , text_water  , is          , win         , .           , .           , .           , .
.           , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , .           , .           , .           , .
.           , wire        , .           , .           , .           , .           , lava        , .           , .           , wire        , text_flag   , is          , melt        , .
.           , wire        , .           , text_water  , .           , .           , lava        , is          , .           , wire        , wire        , wire        , wire        , .
.           , wire        , .           , .           , water       , .           , lava        , .           , .           , .           , .           , flag        , wire        , .
.           , wire        , .           , .           , .           , push        , lava        , .           , .           , .           , .           , .           , wire        , .
.           , wire        , .           , .           , .           , .           , wire        , wire        , wire        , wire        , wire        , wire        , wire        , .
.           , wire        , .           , .           , database    , .           , wire        , text_lava   , on          , text_database, is          , more        , .           , .
.           , wire        , .           , .           , .           , .           , wire        , is          , .           , is          , .           , .           , .           , .
.           , wire        , wire        , wire        , wire        , wire        , wire        , hot         , .           , you         , .           , .           , .           , .
.           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .
